,job_offer,link,company,redshift,sql,kpi,py,xp,R,business,insights,tableau,looker,qlik,pbi,ab,stakeholders,quant,oper,mgmt,location,Seniority
43,Data and Insights Analyst,https://uk.linkedin.com/jobs/view/data-and-insights-analyst-at-uswitch-com-1917310000?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Uswitch.com,0,1,0,1,3,1,1,3,1,0,0,0,0,1,0,0,1,London,Not determined
44,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-wilmington-plc-1929322813?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Wilmington plc,0,0,0,0,7,0,3,2,4,0,0,0,0,0,0,0,7,London,Not determined
45,Finance Data Analyst,https://uk.linkedin.com/jobs/view/finance-data-analyst-at-zego-1910379050?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Zego,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,0,2,London,Not determined
46,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-the-economist-1884442403?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,The Economist,0,4,0,0,4,0,5,1,0,0,1,0,0,1,0,0,2,London,Not determined
47,Data Analyst - Growth,https://uk.linkedin.com/jobs/view/data-analyst-growth-at-cleo-ai-1863221252?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Cleo AI,0,1,0,1,3,0,7,5,1,1,0,0,1,1,1,0,0,London,Not determined
48,Insight Analyst,https://uk.linkedin.com/jobs/view/insight-analyst-at-bloom-wild-1938764959?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bloom & Wild,0,3,0,1,10,2,14,4,1,1,0,0,1,1,0,0,1,London,Not determined
49,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-worldpay-1912543462?refId=2d1b1fec-3aed-4ec0-af03-eba9ba7017f3&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Worldpay,0,2,0,2,7,0,3,0,0,0,0,0,0,1,0,0,1,London,Not determined
50,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-the-economist-1884442403?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,The Economist,0,4,0,0,4,0,5,1,0,0,1,0,0,1,0,0,2,London,Not determined
51,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-oviva-1914561273?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Oviva,0,1,1,2,5,0,6,1,0,0,0,0,0,1,0,0,3,London,Not determined
52,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-s3-associates-llc-1945361338?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"S3-Associates, LLC",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,London,Not determined
