,job_title,company,salary,location,salary_mean,Temporality,Annualized,Seniority
319,Data Analyst,Socialpoint,31.451 €/año,Barcelona,31,Yearly,31000,Not determined
320,Data Analyst,Adevinta,38.725 €/año,Barcelona,39,Yearly,39000,Not determined
321,Data Analyst,SegurCaixa Adeslas,25.198 €/año,Barcelona,25,Yearly,25000,Not determined
322,Data Analyst,Innova-Tsn,23.852 €/año,Barcelona,24,Yearly,24000,Not determined
323,Data Analyst,Kernel Analytics,30.778 €/año,Barcelona,31,Yearly,31000,Not determined
324,Data Analyst - Becario por mes,Accenture,1.098 €/mes,Barcelona,1,Monthly,12000,Internship
325,Data Analyst,Accenture,26.965 €/año,Barcelona,27,Yearly,27000,Not determined
326,Data Analyst - Proveedor de servicios,Altran Group,28.129 €/año,Barcelona,28,Yearly,28000,Not determined
327,Data Analyst,eDreams ODIGEO,24.997 €/año,Barcelona,25,Yearly,25000,Not determined
328,Data Analyst,HP Inc.,27.948 €/año,Barcelona,28,Yearly,28000,Not determined
329,Data Analyst - Becario,HP Inc.,14.243 €/año,Barcelona,14,Yearly,14000,Internship
330,Data Analyst,Minsait,25.179 €/año,Barcelona,25,Yearly,25000,Not determined
331,Data Analyst,Sopra Steria,29.759 €/año,Barcelona,30,Yearly,30000,Not determined
332,Data Analyst - Becario por mes,Criteo,996 €/mes,Barcelona,996,Monthly,11952,Internship
333,Data Analyst - Por mes,Criteo,2.690 €/mes,Barcelona,3,Monthly,36000,Not determined
334,Data Analyst,SAP,30.848 €/año,Barcelona,31,Yearly,31000,Not determined
335,Data Analyst,Vistaprint,37.285 €/año,Barcelona,37,Yearly,37000,Not determined
336,Data Analyst,Schneider Electric,24.488 €/año,Barcelona,24,Yearly,24000,Not determined
337,Data Analyst,Mango,24.976 €/año,Barcelona,25,Yearly,25000,Not determined
338,Data Analyst,Dow Jones,23.698 €/año,Barcelona,24,Yearly,24000,Not determined
339,Data Analyst,Sogeti,27.695 €/año,Barcelona,28,Yearly,28000,Not determined
340,Data Analyst,PUIG,44.466 €/año,Barcelona,44,Yearly,44000,Not determined
341,Data Analyst,Xerox,19.505 €/año,Barcelona,20,Yearly,20000,Not determined
342,Data Analyst,Cargill,51.684 €/año,Barcelona,52,Yearly,52000,Not determined
343,Data Analyst,Wallapop,38.000 €/año,Barcelona,38,Yearly,38000,Not determined
344,Data Analyst,Techedge,28.219 €/año,Barcelona,28,Yearly,28000,Not determined
345,Data Analyst,Boehringer Ingelheim,40.514 €/año,Barcelona,41,Yearly,41000,Not determined
346,Data Analyst,Ecolab,35.573 €/año,Barcelona,36,Yearly,36000,Not determined
347,Data Analyst - Becario por mes,Splendia,600 €/mes,Barcelona,600,Monthly,7200,Internship
348,Data Analyst,Rebold,18.847 €/año,Barcelona,19,Yearly,19000,Not determined
349,Data Analyst,ClearPeaks,26.997 €/año,Barcelona,27,Yearly,27000,Not determined
350,Data Analyst,Kantar Worldpanel,23.550 €/año,Barcelona,24,Yearly,24000,Not determined
351,Data Analyst,Primagas,46.000 €/año,Barcelona,46,Yearly,46000,Not determined
352,Data Analyst,La Redoute,48.396 €/año,Barcelona,48,Yearly,48000,Not determined
353,Data Analyst - Becario por hora,Tekman Books,6 €/h,Barcelona,6,Hourly,10800,Internship
354,Data Analyst,CYBERCLICK MARKETING,29.886 €/año,Barcelona,30,Yearly,30000,Not determined
355,Data Analyst,Zeptolab,35.738 €/año,Barcelona,36,Yearly,36000,Not determined
356,Data Analyst - Por mes,500 Markets,1.019 €/mes,Barcelona,1,Monthly,12000,Not determined
357,Data Analyst - Por mes,Light Stone,897 €/mes,Barcelona,897,Monthly,10764,Not determined
358,Data Analyst,Higuests,47.320 €/año,Barcelona,47,Yearly,47000,Not determined
359,Data Analyst,En GantaBI,47.118 €/año,Barcelona,47,Yearly,47000,Not determined
360,Senior Data Analyst,Criteo,36.860 €/año,Barcelona,37,Yearly,37000,Senior Position
361,Senior Data Analyst,Vistaprint,51.424 €/año,Barcelona,51,Yearly,51000,Senior Position
362,Senior Data Analyst,Bayer,27.053 €/año,Barcelona,27,Yearly,27000,Senior Position
363,Senior Data Analyst,Norwegian Air Shuttle,32.000 €/año,Barcelona,32,Yearly,32000,Senior Position
364,Business Data Analyst,SDG Group,24.574 €/año,Barcelona,25,Yearly,25000,Not determined
365,Business Data Analyst,Autodesk,33.937 €/año,Barcelona,34,Yearly,34000,Not determined
366,Junior Data Analyst,Glovo,25.976 €/año,Barcelona,26,Yearly,26000,Junior Position
367,Junior Data Analyst,FocusEconomics,11.884 €/año,Barcelona,12,Yearly,12000,Junior Position
368,Marketing Data Analyst,Adevinta,45.499 €/año,Barcelona,45,Yearly,45000,Not determined
369,Big Data Analyst,Minsait,24.070 €/año,Barcelona,24,Yearly,24000,Not determined
370,Big Data Analyst,Nest,49.371 €/año,Barcelona,49,Yearly,49000,Not determined
