,job_title,company,salary,location,salary_mean,temp,seniority
512,Big Data Analyst,Ericsson-Worldwide,36.740 €/año,Paris,36.74,Yearly,Not determined
513,Statistical Data Analyst - Becario por mes,Air Liquide,1.151 €/mes,Paris,1.151,Monthly,Not determined
514,BI Data Analyst - Becario por mes,Kaymu,835 €/mes,Paris,835.0,Monthly,Not determined
515,Language Data Analyst - Por mes,TransPerfect,1.222 €/mes,Paris,1.222,Monthly,Not determined
516,Internship Data Analyst - Por mes,AXA,1.905 €/mes,Paris,1.905,Monthly,Not determined
517,Internship Data Analyst - Por mes,Wavestone,1.705 €/mes,Paris,1.705,Monthly,Not determined
518,Internship Data Analyst - Por mes,Air Liquide,1.217 €/mes,Paris,1.217,Monthly,Not determined
519,Internship Data Analyst - Por mes,Criteo,1.500 €/mes,Paris,1.5,Monthly,Not determined
520,Internship Data Analyst - Por mes,GE Healthcare,1.504 €/mes,Paris,1.504,Monthly,Not determined
521,Internship Data Analyst - Por mes,Contentsquare,1.010 €/mes,Paris,1.01,Monthly,Not determined
522,Internship Data Analyst - Por mes,Ekimetrics,1.424 €/mes,Paris,1.424,Monthly,Not determined
523,Internship Data Analyst - Por mes,Publicis ETO,1.014 €/mes,Paris,1.014,Monthly,Not determined
524,Internship Data Analyst - Por mes,Arcane (France),1.303 €/mes,Paris,1.303,Monthly,Not determined
525,Internship Data Analyst - Por mes,Mixdata,1.014 €/mes,Paris,1.014,Monthly,Not determined
526,Internship Data Analyst - Por mes,TradeLab,1.003 €/mes,Paris,1.003,Monthly,Not determined
527,Internship Data Analyst - Por mes,Myriad (France),569 €/mes,Paris,569.0,Monthly,Not determined
528,Risk Data Analyst,Newedge,36.511 €/año,Paris,36.511,Yearly,Not determined
529,CRM Data Analyst,Audika,50.721 €/año,Paris,50.721,Yearly,Not determined
530,Assistant Data Analyst - Becario por mes,Orange,1.419 €/mes,Paris,1.419,Monthly,Not determined
531,Data Analyst,Bloomberg L.P.,44.221 £/año,London,44.221,Yearly,Not determined
532,Data Analyst,Her Majesty's Revenue & Customs,33.879 £/año,London,33.879,Yearly,Not determined
533,Data Analyst,Experian,31.671 £/año,London,31.671,Yearly,Not determined
534,Data Analyst,Sport England,46.467 £/año,London,46.467,Yearly,Not determined
